id,ps,dprime_h,dprime_s,n_signal,n_noise,mean_H|S,mean_H|N,mean_S|S,mean_S|N,sd_H|S,sd_H|N,sd_S|S,sd_S|N,abs_err_H|S,abs_err_H|N,abs_err_S|S,abs_err_S|N
99,0.2,2.1,2.5,24,96,1.05,-1.05,1.2500000000000002,-1.2499999999999998,1.2128827663280213,0.8714637681741237,1.0666025649892388,0.9965916579948524,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16
100,0.2,2.3,0.5,24,96,1.1500000000000001,-1.1500000000000001,0.24999999999999992,-0.25000000000000006,0.943733732428955,1.0655411906841439,1.1493989881019182,0.959463864576148,2.220446049250313e-16,2.220446049250313e-16,8.326672684688674e-17,5.551115123125783e-17
101,0.2,2.3,0.7,24,96,1.1499999999999997,-1.1499999999999997,0.3499999999999999,-0.3499999999999999,0.9565629450383636,0.9743687745648428,1.0704259532178166,0.9715985734109426,2.220446049250313e-16,2.220446049250313e-16,5.551115123125783e-17,5.551115123125783e-17
102,0.2,2.3,0.9,24,96,1.1500000000000001,-1.1500000000000001,0.44999999999999996,-0.4499999999999999,1.187379341707011,0.9317689628911903,0.8026811820904088,1.051959794494619,2.220446049250313e-16,2.220446049250313e-16,5.551115123125783e-17,1.1102230246251565e-16
103,0.2,2.3,1.1,24,96,1.1499999999999997,-1.1500000000000001,0.55,-0.5500000000000002,0.8689587682261415,1.055443779232999,1.1424345754449376,0.9951673933856091,2.220446049250313e-16,2.220446049250313e-16,0.0,1.1102230246251565e-16
104,0.2,2.3,1.3,24,96,1.1500000000000001,-1.1500000000000001,0.65,-0.6499999999999999,0.9955954378906191,0.9320066232329197,1.0018814178543185,1.2323445457721292,2.220446049250313e-16,2.220446049250313e-16,0.0,1.1102230246251565e-16
105,0.2,2.3,1.5,24,96,1.1500000000000001,-1.15,0.75,-0.75,0.9920208818479436,1.0286418230500725,1.2370078392261314,0.9230142929631981,2.220446049250313e-16,0.0,0.0,0.0
106,0.2,2.3,1.7,24,96,1.15,-1.15,0.85,-0.85,1.10188000070706,1.0586414417676282,1.313859646512653,1.1853717819876173,0.0,0.0,0.0,0.0
107,0.2,2.3,1.9,24,96,1.1499999999999997,-1.1500000000000001,0.9499999999999998,-0.9500000000000002,1.1284838515149822,0.865382430304606,0.8737592698809379,1.0252128412418997,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16
108,0.2,2.3,2.1,24,96,1.15,-1.15,1.05,-1.05,0.9418317574689448,0.883908582048474,0.9797043735772928,1.0160576883120032,0.0,0.0,0.0,0.0
109,0.2,2.3,2.3,24,96,1.1500000000000001,-1.1499999999999997,1.1499999999999997,-1.1499999999999997,1.0485382132534597,0.9509662823912601,1.0932183629314365,1.0449006281970044,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16
110,0.2,2.3,2.5,24,96,1.1500000000000001,-1.15,1.25,-1.2500000000000002,1.215940175525334,1.0567160312203245,0.990752218148813,1.0678007378782306,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16
111,0.2,2.5,0.5,24,96,1.25,-1.25,0.25,-0.25000000000000006,1.0862439119124974,0.976382236127715,0.9126922620364127,0.949943539272599,0.0,0.0,0.0,5.551115123125783e-17
112,0.2,2.5,0.7,24,96,1.2500000000000002,-1.2499999999999998,0.35000000000000003,-0.34999999999999987,0.8385884791397337,0.9940421951970645,0.8956114479931494,0.99857719558401,2.220446049250313e-16,2.220446049250313e-16,5.551115123125783e-17,1.1102230246251565e-16
113,0.2,2.5,0.9,24,96,1.2500000000000002,-1.2500000000000002,0.44999999999999996,-0.45,0.7116733978963724,0.9673497281028746,0.7505463748151365,1.0537674200376503,2.220446049250313e-16,2.220446049250313e-16,5.551115123125783e-17,0.0
114,0.2,2.5,1.1,24,96,1.2499999999999998,-1.2500000000000002,0.5500000000000002,-0.55,0.9387348136700177,1.0631607755462402,1.0799382550726904,0.9009165649238648,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0
115,0.2,2.5,1.3,24,96,1.25,-1.25,0.65,-0.6499999999999999,0.9717298505551651,0.9694192777418692,1.2002671114402985,0.9407251499600116,0.0,0.0,0.0,1.1102230246251565e-16
